SMILES;cas.index.name;cas.rn;Parameter;Value
O=c1cc(CO)occ1O;4H-Pyran-4-one, 5-hydroxy-2-(hydroxymethyl)-;501-30-4;IC50;89.41 µM
O=c1cc(CO)occ1O;4H-Pyran-4-one, 5-hydroxy-2-(hydroxymethyl)-;501-30-4;IC50;89.41 µM
O=c1cc(CO)occ1O;4H-Pyran-4-one, 5-hydroxy-2-(hydroxymethyl)-;501-30-4;IC50;89.41 µM
O=c1cc(CO)occ1O;4H-Pyran-4-one, 5-hydroxy-2-(hydroxymethyl)-;501-30-4;IC50;> 100 µM
O=c1cc(CO)occ1O;4H-Pyran-4-one, 5-hydroxy-2-(hydroxymethyl)-;501-30-4;IC50;> 100 µM
O=c1cc(CO)occ1O;4H-Pyran-4-one, 5-hydroxy-2-(hydroxymethyl)-;501-30-4;IC50;> 100 µM
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-;117-39-5;IC50;1.3 µM
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-;117-39-5;IC50;4.2 µM
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-;117-39-5;IC50;4.41 µM
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-;117-39-5;IC50;4.53 µM
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-;117-39-5;IC50;< 5 µM
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-;117-39-5;IC50;7.2 µM
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-;117-39-5;IC50;8.5 µM
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-;117-39-5;IC50;10 - 100 µM
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-;117-39-5;IC50;11.32 µM
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-;117-39-5;IC50;15 µM
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-;117-39-5;IC50;15.1 µM
