SMILES;cas.index.name;cas.rn;Parameter;Value
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-;117-39-5;IC50;< 5 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;0.173 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;0.98 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;0.98 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;1 - 10 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;5 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;11 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;15 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;16.1 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;20 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;20 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;40 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;50 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;60 µM
O=C(O)c1cc(O)c(O)c(O)c1;Benzoic acid, 3,4,5-trihydroxy-;149-91-7;IC50;100 - 200 µM
O=C(O)c1cc(O)c(O)c(O)c1;Benzoic acid, 3,4,5-trihydroxy-;149-91-7;IC50;500 µM
O=C(O)c1cc(O)c(O)c(O)c1;Benzoic acid, 3,4,5-trihydroxy-;149-91-7;IC50;> 1 × 103 µM
Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2;2H-1-Benzopyran-3,5,7-triol, 2-(3,4-dihydroxyphenyl)-3,4-dihydro-, (2R,3S)-;154-23-4;IC50;< 5 µM
Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2;2H-1-Benzopyran-3,5,7-triol, 2-(3,4-dihydroxyphenyl)-3,4-dihydro-, (2R,3S)-;154-23-4;IC50;> 10 µM
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 3,5,7-trihydroxy-2-(4-hydroxyphenyl)-;520-18-3;IC50;< 5 µM
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-;491-70-3;IC50;< 5 µM
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 5,7-dihydroxy-2-(4-hydroxyphenyl)-;520-36-5;IC50;< 5 µM
O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O;2-Propen-1-one, 1-(2,4-dihydroxyphenyl)-3-(4-hydroxyphenyl)-, (2E)-;961-29-5;IC50;> 20 µM
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C;Phenanthro[1,2-b]furan-10,11-dione, 6,7,8,9-tetrahydro-1,6,6-trimethyl-;568-72-9;IC50;34 µM
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C;Phenanthro[1,2-b]furan-10,11-dione, 6,7,8,9-tetrahydro-1,6,6-trimethyl-;568-72-9;IC50;34 µM
O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1;Benzoic acid, 3,4,5-trihydroxy-, (2R,3R)-3,4-dihydro-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-2H-1-benzopyran-3-yl ester;989-51-5;IC50;10 µM
O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1;Benzoic acid, 3,4,5-trihydroxy-, (2R,3R)-3,4-dihydro-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-2H-1-benzopyran-3-yl ester;989-51-5;IC50;80 µM
COC(=O)c1cc(O)c(O)c(O)c1;Benzoic acid, 3,4,5-trihydroxy-, methyl ester;99-24-1;IC50;No activity
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12;Lup-20(29)-en-28-oic acid, 3-hydroxy-, (3β)-;472-15-1;IC50;14.3 µM
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 5,7-dihydroxy-3-(4-hydroxyphenyl)-;446-72-0;IC50;25 µM
O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1O;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-2,3-dihydro-3,5,7-trihydroxy-, (2R,3R)-;480-18-2;IC50;40 µM
COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)/C=C/c1ccc(O)cc1;2-Propen-1-one, 1-[2,4-dihydroxy-6-methoxy-3-(3-methyl-2-buten-1-yl)phenyl]-3-(4-hydroxyphenyl)-, (2E)-;6754-58-1;IC50;3 mg/L
