SMILES;cas.index.name;cas.rn;Parameter;Value
O=c1cc(CO)occ1O;4H-Pyran-4-one, 5-hydroxy-2-(hydroxymethyl)-;501-30-4;IC50;38.5 µM
O=c1cc(CO)occ1O;4H-Pyran-4-one, 5-hydroxy-2-(hydroxymethyl)-;501-30-4;IC50;> 100 µM
O=c1cc(CO)occ1O;4H-Pyran-4-one, 5-hydroxy-2-(hydroxymethyl)-;501-30-4;IC50;> 100 µM
OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O;β-D-Glucopyranoside, 4-hydroxyphenyl;497-76-7;IC50;148.4 µM
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-;117-39-5;IC50;118.30416 µM
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-;117-39-5;IC50;100 mg/L
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-;117-39-5;IC50;50 mg/L
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;11.1 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;84.61 µM
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O;L-Ascorbic acid;50-81-7;IC50;62.2 µM
Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2;2H-1-Benzopyran-3,5,7-triol, 2-(3,4-dihydroxyphenyl)-3,4-dihydro-, (2R,3S)-;154-23-4;IC50;184.4 µM
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 3,5,7-trihydroxy-2-(4-hydroxyphenyl)-;520-18-3;IC50;88.10489 µM
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 3,5,7-trihydroxy-2-(4-hydroxyphenyl)-;520-18-3;IC50;50 mg/L
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 3,5,7-trihydroxy-2-(4-hydroxyphenyl)-;520-18-3;IC50;50 mg/L
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-;491-70-3;IC50;234.96328 µM
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-;491-70-3;IC50;402 µM
